"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"FV2019 - Stemmeberettigede";"FV2019 - Afgivne stemmer";"FV2019 - Blanke stemmer";"FV2019 - Andre ugyldige stemmer";"FV2019 - Gyldige stemmer";"FV2019 - A. Socialdemokratiet";"FV2019 - B. Radikale Venstre";"FV2019 - C. Det Konservative Folkeparti";"FV2019 - F. SF - Socialistisk Folkeparti";"FV2019 - I. Liberal Alliance";"FV2019 - K. Kristendemokraterne";"FV2019 - O. Dansk Folkeparti";"FV2019 - V. Venstre, Danmarks Liberale Parti";"FV2019 - Ø. Enhedslisten - De Rød-Grønne";"FV2019 - Å. Alternativet";"FV2019 - D. Nye Borgerlige";"FV2019 - P. Stram Kurs";"FV2019 - E. Klaus Riskær Pedersen";"FV2019 - 1. Uden for partierne";"FV2019 - 2. Uden for partierne";"FV2019 - 3. Uden for partierne";"FV2019 - 4. Uden for partierne";"FV2019 - 5. Uden for partierne"
"316013";"316013";"37";"5";"2";"2730";"2204";"25";"7";"2172";"691";"94";"108";"129";"35";"17";"295";"555";"91";"22";"47";"74";"13";"1";"-";"-";"-";"-"
"316014";"316014";"37";"5";"2";"2652";"2190";"18";"5";"2167";"594";"87";"113";"121";"49";"17";"321";"580";"93";"24";"62";"79";"24";"3";"-";"-";"-";"-"
"316015";"316015";"37";"5";"2";"776";"649";"6";"1";"642";"177";"24";"13";"75";"7";"4";"76";"122";"70";"31";"18";"18";"7";"0";"-";"-";"-";"-"
"320001";"320001";"33";"5";"2";"5443";"4647";"36";"14";"4597";"1212";"228";"286";"401";"92";"50";"544";"1127";"198";"81";"147";"167";"62";"2";"-";"-";"-";"-"
"320002";"320002";"33";"5";"2";"6280";"5112";"43";"15";"5054";"1343";"250";"359";"512";"66";"50";"566";"1156";"259";"73";"164";"202";"54";"0";"-";"-";"-";"-"
"320003";"320003";"33";"5";"2";"3722";"3002";"32";"16";"2954";"1034";"62";"162";"200";"44";"27";"334";"677";"113";"45";"96";"116";"44";"0";"-";"-";"-";"-"
"320004";"320004";"33";"5";"2";"3215";"2706";"22";"4";"2680";"843";"92";"122";"260";"39";"20";"300";"575";"199";"60";"77";"59";"34";"0";"-";"-";"-";"-"
"320005";"320005";"33";"5";"2";"3228";"2766";"29";"10";"2727";"682";"89";"186";"259";"40";"21";"390";"624";"141";"97";"76";"91";"30";"1";"-";"-";"-";"-"
"320006";"320006";"33";"5";"2";"2788";"2336";"28";"3";"2305";"557";"85";"119";"177";"46";"16";"321";"694";"70";"26";"58";"96";"39";"1";"-";"-";"-";"-"
"320007";"320007";"33";"5";"2";"2809";"2320";"25";"4";"2291";"599";"82";"141";"162";"53";"10";"324";"641";"72";"41";"69";"69";"28";"0";"-";"-";"-";"-"
"326001";"326001";"38";"5";"2";"2737";"2192";"15";"8";"2169";"595";"75";"88";"133";"15";"13";"378";"503";"151";"46";"60";"90";"22";"0";"-";"-";"-";"-"
"326002";"326002";"38";"5";"2";"297";"251";"5";"0";"246";"86";"8";"7";"20";"0";"12";"35";"54";"15";"2";"1";"1";"5";"0";"-";"-";"-";"-"
"326003";"326003";"38";"5";"2";"3449";"2823";"29";"6";"2788";"839";"102";"99";"186";"36";"21";"423";"596";"182";"46";"105";"117";"33";"3";"-";"-";"-";"-"
"326004";"326004";"38";"5";"2";"2401";"1930";"14";"14";"1902";"552";"63";"73";"124";"21";"10";"289";"497";"76";"24";"60";"82";"30";"1";"-";"-";"-";"-"
"326005";"326005";"38";"5";"2";"1460";"1223";"8";"4";"1211";"334";"42";"52";"56";"18";"20";"168";"365";"45";"12";"33";"55";"11";"0";"-";"-";"-";"-"
"326006";"326006";"38";"5";"2";"527";"440";"7";"1";"432";"118";"19";"17";"27";"1";"2";"72";"100";"27";"8";"19";"16";"6";"0";"-";"-";"-";"-"
"326007";"326007";"38";"5";"2";"1005";"845";"2";"1";"842";"259";"21";"33";"36";"8";"6";"131";"235";"40";"11";"26";"31";"5";"0";"-";"-";"-";"-"
"326008";"326008";"38";"5";"2";"2417";"1912";"15";"7";"1890";"543";"71";"52";"98";"20";"8";"282";"553";"79";"24";"49";"89";"20";"2";"-";"-";"-";"-"
"326009";"326009";"38";"5";"2";"3868";"3202";"27";"15";"3160";"899";"108";"161";"233";"33";"19";"447";"850";"140";"38";"95";"114";"23";"0";"-";"-";"-";"-"
"326010";"326010";"38";"5";"2";"1430";"1194";"11";"6";"1177";"259";"48";"56";"92";"23";"13";"126";"329";"126";"18";"36";"45";"6";"0";"-";"-";"-";"-"
"326011";"326011";"38";"5";"2";"1086";"928";"4";"2";"922";"200";"30";"37";"61";"12";"8";"128";"292";"58";"14";"31";"35";"16";"0";"-";"-";"-";"-"
"326012";"326012";"38";"5";"2";"3115";"2476";"15";"20";"2441";"664";"152";"123";"213";"29";"20";"247";"634";"152";"50";"72";"70";"15";"0";"-";"-";"-";"-"
"326013";"326013";"38";"5";"2";"2634";"2052";"17";"15";"2020";"702";"95";"71";"160";"23";"15";"273";"354";"92";"34";"60";"124";"15";"2";"-";"-";"-";"-"
"326014";"326014";"38";"5";"2";"1227";"997";"11";"3";"983";"256";"38";"39";"66";"13";"11";"124";"288";"38";"15";"28";"59";"7";"1";"-";"-";"-";"-"
"326015";"326015";"38";"5";"2";"2648";"2176";"24";"10";"2142";"598";"73";"88";"139";"35";"15";"314";"555";"67";"29";"94";"105";"30";"0";"-";"-";"-";"-"
"326016";"326016";"38";"5";"2";"3425";"2985";"20";"10";"2955";"778";"171";"119";"209";"54";"26";"344";"832";"139";"48";"107";"96";"31";"1";"-";"-";"-";"-"
"326017";"326017";"38";"5";"2";"673";"579";"3";"2";"574";"135";"23";"27";"59";"3";"4";"80";"145";"40";"9";"28";"12";"9";"0";"-";"-";"-";"-"
"326018";"326018";"38";"5";"2";"3079";"2404";"19";"12";"2373";"726";"181";"96";"182";"37";"8";"248";"570";"138";"48";"57";"60";"21";"1";"-";"-";"-";"-"
"329001";"329001";"39";"5";"2";"8313";"6823";"60";"24";"6739";"1752";"465";"489";"616";"139";"40";"678";"1707";"340";"136";"138";"171";"66";"2";"-";"-";"-";"-"
"329002";"329002";"39";"5";"2";"589";"515";"3";"1";"511";"99";"24";"39";"46";"9";"4";"81";"134";"32";"11";"13";"14";"4";"1";"-";"-";"-";"-"
"329003";"329003";"39";"5";"2";"588";"530";"4";"3";"523";"119";"31";"46";"38";"11";"8";"69";"132";"33";"8";"8";"14";"6";"0";"-";"-";"-";"-"
"329004";"329004";"39";"5";"2";"4131";"3589";"22";"4";"3563";"1011";"250";"224";"257";"70";"23";"455";"920";"116";"44";"99";"71";"23";"0";"-";"-";"-";"-"
"329005";"329005";"39";"5";"2";"1021";"895";"6";"0";"889";"166";"49";"46";"77";"23";"5";"132";"223";"66";"48";"21";"21";"11";"1";"-";"-";"-";"-"
"329006";"329006";"39";"5";"2";"4278";"3500";"22";"10";"3468";"980";"273";"196";"372";"58";"21";"348";"686";"263";"55";"82";"98";"34";"2";"-";"-";"-";"-"
"329008";"329008";"39";"5";"2";"1097";"1001";"8";"2";"991";"193";"102";"35";"136";"34";"3";"73";"199";"121";"62";"17";"6";"10";"0";"-";"-";"-";"-"
"329009";"329009";"39";"5";"2";"955";"812";"8";"2";"802";"211";"32";"85";"54";"11";"10";"100";"207";"31";"11";"22";"20";"6";"2";"-";"-";"-";"-"
"329010";"329010";"39";"5";"2";"1006";"880";"9";"1";"870";"239";"51";"48";"72";"12";"6";"118";"243";"21";"10";"30";"11";"9";"0";"-";"-";"-";"-"
"329011";"329011";"39";"5";"2";"526";"453";"2";"2";"449";"102";"20";"19";"25";"7";"3";"73";"128";"31";"11";"13";"10";"7";"0";"-";"-";"-";"-"
"329012";"329012";"39";"5";"2";"857";"727";"7";"4";"716";"160";"31";"48";"72";"14";"7";"79";"180";"50";"13";"28";"19";"14";"1";"-";"-";"-";"-"
"329013";"329013";"39";"5";"2";"1043";"884";"6";"1";"877";"218";"38";"39";"74";"15";"7";"114";"257";"43";"21";"17";"25";"9";"0";"-";"-";"-";"-"
"329014";"329014";"39";"5";"2";"649";"549";"7";"1";"541";"134";"28";"31";"28";"9";"6";"105";"105";"29";"6";"24";"30";"6";"0";"-";"-";"-";"-"
"330001";"330001";"40";"5";"2";"1320";"1075";"10";"3";"1062";"294";"49";"51";"68";"12";"11";"165";"241";"46";"15";"48";"47";"15";"0";"-";"-";"-";"-"
"330002";"330002";"40";"5";"2";"1154";"958";"6";"0";"952";"226";"39";"51";"70";"10";"4";"121";"263";"52";"15";"46";"43";"12";"0";"-";"-";"-";"-"
"330003";"330003";"40";"5";"2";"1315";"1121";"7";"2";"1112";"241";"81";"57";"77";"15";"7";"120";"374";"44";"12";"40";"38";"6";"0";"-";"-";"-";"-"
"330004";"330004";"40";"5";"2";"1421";"1253";"11";"1";"1241";"387";"45";"66";"80";"18";"13";"139";"350";"39";"11";"37";"38";"18";"0";"-";"-";"-";"-"
"330005";"330005";"40";"5";"2";"5989";"4886";"46";"7";"4833";"1615";"171";"240";"418";"60";"34";"566";"1023";"253";"69";"150";"189";"45";"0";"-";"-";"-";"-"
"330006";"330006";"40";"5";"2";"5371";"4122";"29";"11";"4082";"1354";"220";"178";"362";"49";"22";"525";"687";"277";"73";"141";"152";"41";"1";"-";"-";"-";"-"
"330007";"330007";"40";"5";"2";"1909";"1614";"19";"5";"1590";"499";"55";"59";"104";"20";"10";"234";"374";"94";"19";"54";"58";"10";"0";"-";"-";"-";"-"
"330008";"330008";"40";"5";"2";"2605";"2226";"18";"3";"2205";"545";"75";"114";"148";"41";"11";"313";"702";"45";"31";"94";"74";"12";"0";"-";"-";"-";"-"
"330009";"330009";"40";"5";"2";"5070";"3999";"37";"11";"3951";"1183";"296";"205";"308";"67";"40";"355";"929";"199";"61";"141";"129";"35";"3";"-";"-";"-";"-"
"330010";"330010";"40";"5";"2";"1359";"1196";"13";"3";"1180";"279";"40";"53";"108";"12";"10";"142";"309";"74";"62";"38";"33";"18";"2";"-";"-";"-";"-"
"330011";"330011";"40";"5";"2";"2896";"2388";"21";"7";"2360";"647";"137";"127";"197";"23";"20";"275";"603";"129";"50";"59";"69";"23";"1";"-";"-";"-";"-"
"330012";"330012";"40";"5";"2";"162";"142";"1";"0";"141";"45";"3";"6";"4";"1";"3";"20";"37";"9";"3";"7";"2";"1";"0";"-";"-";"-";"-"
"330013";"330013";"40";"5";"2";"1080";"916";"10";"3";"903";"204";"39";"48";"51";"12";"1";"116";"296";"34";"16";"37";"41";"8";"0";"-";"-";"-";"-"
"330014";"330014";"40";"5";"2";"333";"273";"0";"1";"272";"66";"13";"6";"10";"3";"0";"35";"88";"23";"4";"13";"9";"2";"0";"-";"-";"-";"-"
"330015";"330015";"40";"5";"2";"2188";"1769";"6";"6";"1757";"506";"65";"72";"120";"23";"9";"244";"513";"70";"24";"44";"49";"18";"0";"-";"-";"-";"-"
"330016";"330016";"40";"5";"2";"386";"322";"3";"0";"319";"78";"11";"14";"15";"3";"3";"46";"85";"19";"6";"21";"13";"4";"1";"-";"-";"-";"-"
"330017";"330017";"40";"5";"2";"147";"127";"2";"0";"125";"37";"6";"3";"12";"0";"0";"17";"18";"17";"3";"4";"5";"3";"0";"-";"-";"-";"-"
"330018";"330018";"40";"5";"2";"528";"447";"5";"1";"441";"100";"20";"23";"37";"2";"6";"63";"119";"19";"12";"11";"25";"4";"0";"-";"-";"-";"-"
"330019";"330019";"40";"5";"2";"5537";"4132";"54";"15";"4063";"969";"263";"219";"388";"125";"37";"369";"1020";"253";"108";"100";"173";"37";"2";"-";"-";"-";"-"
"330020";"330020";"40";"5";"2";"4229";"3478";"24";"6";"3448";"983";"215";"187";"270";"50";"20";"307";"1007";"156";"48";"78";"100";"26";"1";"-";"-";"-";"-"
"330021";"330021";"40";"5";"2";"5001";"4271";"38";"4";"4229";"1192";"246";"220";"338";"79";"20";"478";"1185";"157";"79";"96";"98";"40";"1";"-";"-";"-";"-"
"330022";"330022";"40";"5";"2";"6131";"4776";"40";"10";"4726";"1260";"415";"188";"405";"74";"45";"480";"1177";"300";"92";"106";"142";"41";"1";"-";"-";"-";"-"
"330024";"330024";"40";"5";"2";"1022";"884";"3";"0";"881";"179";"36";"56";"42";"24";"6";"109";"325";"25";"18";"16";"30";"15";"0";"-";"-";"-";"-"
"330025";"330025";"40";"5";"2";"2117";"1864";"1";"0";"1863";"493";"71";"93";"132";"17";"12";"261";"595";"58";"20";"52";"39";"20";"0";"-";"-";"-";"-"
"330026";"330026";"40";"5";"2";"440";"387";"4";"1";"382";"96";"15";"13";"24";"5";"5";"40";"118";"18";"8";"22";"12";"4";"2";"-";"-";"-";"-"
"336001";"336001";"33";"5";"2";"4391";"3687";"30";"13";"3644";"880";"131";"228";"389";"67";"30";"456";"960";"200";"46";"92";"122";"43";"0";"-";"-";"-";"-"
"336002";"336002";"33";"5";"2";"5508";"4826";"19";"8";"4799";"1013";"249";"384";"539";"110";"49";"526";"1369";"178";"86";"137";"105";"53";"1";"-";"-";"-";"-"
"336003";"336003";"33";"5";"2";"4461";"3681";"36";"6";"3639";"1003";"169";"302";"367";"61";"17";"395";"801";"216";"53";"96";"110";"48";"1";"-";"-";"-";"-"
"336004";"336004";"33";"5";"2";"3017";"2562";"16";"3";"2543";"627";"159";"198";"259";"44";"15";"297";"556";"147";"55";"66";"84";"36";"0";"-";"-";"-";"-"
"340001";"340001";"39";"5";"2";"4430";"3562";"25";"16";"3521";"990";"134";"237";"248";"49";"74";"544";"781";"155";"58";"106";"117";"27";"1";"-";"-";"-";"-"
"340002";"340002";"39";"5";"2";"1549";"1222";"11";"5";"1206";"334";"28";"87";"78";"17";"18";"203";"239";"82";"16";"28";"54";"22";"0";"-";"-";"-";"-"
"340004";"340004";"39";"5";"2";"1433";"1193";"9";"4";"1180";"319";"55";"62";"75";"17";"5";"146";"343";"39";"21";"36";"47";"15";"0";"-";"-";"-";"-"
"340005";"340005";"39";"5";"2";"4137";"3530";"21";"11";"3498";"930";"330";"306";"370";"69";"36";"230";"729";"216";"106";"73";"73";"30";"0";"-";"-";"-";"-"
"340006";"340006";"39";"5";"2";"3641";"3231";"17";"7";"3207";"779";"311";"204";"398";"53";"30";"194";"712";"258";"110";"72";"56";"29";"1";"-";"-";"-";"-"
"340008";"340008";"39";"5";"2";"3074";"2607";"25";"9";"2573";"666";"126";"197";"210";"48";"22";"286";"687";"124";"48";"62";"68";"27";"2";"-";"-";"-";"-"
"340010";"340010";"39";"5";"2";"4222";"3507";"27";"12";"3468";"868";"132";"199";"276";"47";"35";"524";"869";"180";"63";"100";"114";"56";"5";"-";"-";"-";"-"
"350001";"350001";"34";"5";"2";"3151";"2726";"26";"5";"2695";"659";"128";"170";"239";"55";"20";"284";"771";"133";"60";"82";"58";"36";"0";"-";"-";"-";"-"
"350002";"350002";"34";"5";"2";"1999";"1743";"17";"3";"1723";"425";"85";"105";"138";"32";"7";"203";"487";"83";"47";"53";"42";"16";"0";"-";"-";"-";"-"
"350003";"350003";"34";"5";"2";"1288";"1153";"14";"2";"1137";"248";"58";"62";"130";"22";"11";"139";"302";"60";"20";"41";"32";"12";"0";"-";"-";"-";"-"
"350004";"350004";"34";"5";"2";"1111";"978";"11";"2";"965";"261";"44";"70";"74";"20";"13";"109";"256";"40";"17";"32";"22";"7";"0";"-";"-";"-";"-"
"350005";"350005";"34";"5";"2";"937";"831";"4";"2";"825";"170";"66";"49";"86";"27";"4";"59";"247";"46";"24";"17";"14";"16";"0";"-";"-";"-";"-"
"350006";"350006";"34";"5";"2";"3486";"3121";"16";"13";"3092";"750";"277";"201";"457";"55";"13";"221";"591";"269";"97";"81";"52";"28";"0";"-";"-";"-";"-"
"350008";"350008";"34";"5";"2";"2194";"1938";"13";"7";"1918";"431";"91";"144";"218";"39";"15";"260";"462";"87";"32";"62";"47";"30";"0";"-";"-";"-";"-"
"350009";"350009";"34";"5";"2";"2143";"1953";"14";"7";"1932";"417";"152";"135";"204";"44";"26";"154";"547";"110";"54";"39";"27";"23";"0";"-";"-";"-";"-"
"350011";"350011";"34";"5";"2";"1982";"1853";"11";"4";"1838";"272";"275";"159";"267";"52";"17";"77";"475";"108";"85";"26";"9";"15";"1";"-";"-";"-";"-"
"350012";"350012";"34";"5";"2";"2319";"2053";"12";"6";"2035";"455";"153";"101";"186";"40";"58";"206";"552";"108";"64";"56";"37";"19";"0";"-";"-";"-";"-"
"360001";"360001";"29";"5";"2";"622";"502";"1";"1";"500";"175";"25";"18";"15";"4";"0";"81";"127";"20";"3";"15";"12";"4";"1";"-";"-";"-";"-"
"360003";"360003";"29";"5";"2";"2034";"1569";"12";"9";"1548";"679";"28";"45";"69";"10";"8";"191";"307";"78";"16";"38";"59";"19";"1";"-";"-";"-";"-"
"360008";"360008";"29";"5";"2";"758";"594";"1";"0";"593";"209";"24";"28";"28";"5";"2";"80";"145";"25";"5";"15";"16";"11";"0";"-";"-";"-";"-"
"360011";"360011";"29";"5";"2";"1640";"1237";"9";"2";"1226";"455";"32";"32";"69";"19";"6";"162";"272";"62";"15";"31";"62";"9";"0";"-";"-";"-";"-"
"360013";"360013";"29";"5";"2";"5199";"4213";"24";"11";"4178";"1670";"130";"162";"326";"51";"25";"406";"1021";"157";"54";"60";"90";"26";"0";"-";"-";"-";"-"
"360014";"360014";"29";"5";"2";"45";"43";"0";"0";"43";"11";"0";"1";"2";"0";"3";"4";"16";"2";"3";"1";"0";"0";"0";"-";"-";"-";"-"
"360019";"360019";"29";"5";"2";"2543";"1984";"16";"9";"1959";"712";"41";"67";"110";"25";"22";"228";"480";"112";"20";"52";"69";"21";"0";"-";"-";"-";"-"
"360020";"360020";"29";"5";"2";"6739";"4975";"48";"12";"4915";"2295";"106";"160";"403";"27";"29";"613";"683";"246";"41";"113";"161";"38";"0";"-";"-";"-";"-"
"360021";"360021";"29";"5";"2";"4037";"3170";"39";"16";"3115";"1339";"73";"129";"265";"32";"27";"367";"529";"127";"33";"78";"92";"23";"1";"-";"-";"-";"-"
"360026";"360026";"29";"5";"2";"393";"322";"0";"1";"321";"113";"8";"9";"22";"5";"2";"40";"64";"21";"6";"11";"10";"10";"0";"-";"-";"-";"-"
"360027";"360027";"29";"5";"2";"378";"337";"5";"0";"332";"68";"19";"11";"24";"5";"3";"46";"67";"42";"20";"13";"10";"4";"0";"-";"-";"-";"-"
"360028";"360028";"29";"5";"2";"112";"95";"2";"1";"92";"23";"3";"9";"5";"0";"1";"11";"32";"6";"2";"0";"0";"0";"0";"-";"-";"-";"-"
"360029";"360029";"29";"5";"2";"1916";"1477";"19";"3";"1455";"521";"30";"56";"112";"13";"11";"190";"315";"74";"12";"40";"67";"14";"0";"-";"-";"-";"-"
"360035";"360035";"29";"5";"2";"2092";"1663";"18";"7";"1638";"522";"34";"64";"80";"16";"12";"257";"431";"106";"8";"37";"61";"10";"0";"-";"-";"-";"-"
"360036";"360036";"29";"5";"2";"2909";"2224";"17";"5";"2202";"836";"54";"96";"126";"28";"15";"248";"514";"99";"24";"65";"82";"15";"0";"-";"-";"-";"-"
"360037";"360037";"29";"5";"2";"1324";"922";"7";"0";"915";"372";"25";"25";"80";"1";"5";"141";"131";"57";"11";"19";"39";"9";"0";"-";"-";"-";"-"
"370001";"370001";"32";"5";"2";"3432";"2788";"22";"9";"2757";"751";"114";"148";"217";"40";"26";"396";"665";"126";"56";"105";"83";"29";"1";"-";"-";"-";"-"
"370002";"370002";"32";"5";"2";"800";"674";"7";"0";"667";"197";"30";"33";"34";"7";"4";"85";"177";"27";"20";"22";"18";"13";"0";"-";"-";"-";"-"
"370003";"370003";"32";"5";"2";"1605";"1290";"11";"4";"1275";"365";"45";"54";"91";"14";"6";"200";"297";"62";"34";"53";"41";"12";"1";"-";"-";"-";"-"
"370004";"370004";"32";"5";"2";"1979";"1723";"9";"3";"1711";"522";"86";"141";"133";"23";"18";"125";"515";"52";"17";"40";"25";"14";"0";"-";"-";"-";"-"
"370005";"370005";"32";"5";"2";"725";"636";"11";"0";"625";"159";"23";"32";"37";"9";"4";"82";"175";"43";"11";"22";"25";"3";"0";"-";"-";"-";"-"
"370006";"370006";"32";"5";"2";"1938";"1650";"15";"3";"1632";"502";"50";"71";"121";"32";"7";"219";"402";"72";"25";"40";"58";"33";"0";"-";"-";"-";"-"
"370007";"370007";"32";"5";"2";"1255";"1048";"7";"0";"1041";"283";"44";"35";"70";"21";"12";"118";"296";"50";"28";"29";"37";"18";"0";"-";"-";"-";"-"
"370008";"370008";"32";"5";"2";"3776";"3266";"30";"4";"3232";"1163";"123";"186";"240";"62";"30";"338";"767";"113";"38";"67";"79";"26";"0";"-";"-";"-";"-"
"370009";"370009";"32";"5";"2";"1124";"993";"14";"2";"977";"315";"30";"58";"68";"13";"5";"138";"233";"32";"9";"33";"35";"8";"0";"-";"-";"-";"-"
"370010";"370010";"32";"5";"2";"1271";"1065";"9";"5";"1051";"314";"41";"58";"67";"18";"0";"129";"273";"47";"19";"33";"40";"12";"0";"-";"-";"-";"-"
"370011";"370011";"32";"5";"2";"2447";"2132";"17";"4";"2111";"700";"91";"75";"219";"44";"22";"211";"444";"129";"36";"61";"51";"28";"0";"-";"-";"-";"-"
"370012";"370012";"32";"5";"2";"409";"350";"5";"1";"344";"59";"19";"22";"35";"10";"1";"48";"85";"17";"3";"18";"20";"7";"0";"-";"-";"-";"-"
"370013";"370013";"32";"5";"2";"490";"408";"1";"0";"407";"115";"16";"14";"16";"7";"6";"47";"128";"13";"10";"16";"12";"7";"0";"-";"-";"-";"-"
"370014";"370014";"32";"5";"2";"2532";"2107";"16";"13";"2078";"683";"69";"126";"151";"33";"17";"274";"470";"84";"25";"51";"76";"19";"0";"-";"-";"-";"-"
"370020";"370020";"32";"5";"2";"3688";"3127";"11";"8";"3108";"1112";"167";"201";"222";"49";"24";"221";"772";"132";"49";"66";"68";"25";"0";"-";"-";"-";"-"
"370021";"370021";"32";"5";"2";"3251";"2516";"26";"15";"2475";"740";"141";"174";"227";"83";"12";"185";"556";"162";"52";"58";"61";"24";"0";"-";"-";"-";"-"
"370022";"370022";"32";"5";"2";"4493";"3447";"30";"13";"3404";"1238";"176";"137";"364";"72";"24";"299";"540";"220";"92";"86";"119";"36";"1";"-";"-";"-";"-"
"370023";"370023";"32";"5";"2";"4699";"3901";"20";"8";"3873";"1428";"201";"219";"351";"96";"29";"290";"770";"212";"69";"92";"84";"32";"0";"-";"-";"-";"-"
"370024";"370024";"32";"5";"2";"4992";"4169";"28";"9";"4132";"1662";"190";"189";"358";"66";"32";"381";"793";"178";"73";"90";"82";"37";"1";"-";"-";"-";"-"
"370025";"370025";"32";"5";"2";"2733";"2225";"13";"5";"2207";"816";"129";"107";"224";"41";"12";"210";"338";"126";"51";"74";"60";"18";"1";"-";"-";"-";"-"
"370026";"370026";"32";"5";"2";"2667";"2349";"12";"5";"2332";"743";"146";"186";"199";"49";"24";"164";"609";"83";"34";"39";"45";"11";"0";"-";"-";"-";"-"
"370027";"370027";"32";"5";"2";"4497";"3765";"26";"9";"3730";"1210";"193";"262";"234";"72";"40";"327";"1012";"117";"49";"104";"85";"25";"0";"-";"-";"-";"-"
"370028";"370028";"32";"5";"2";"3672";"2829";"27";"7";"2795";"1179";"153";"109";"251";"38";"26";"275";"454";"125";"37";"65";"62";"20";"1";"-";"-";"-";"-"
"370029";"370029";"32";"5";"2";"669";"594";"3";"0";"591";"191";"25";"37";"47";"12";"1";"72";"123";"29";"10";"14";"23";"7";"0";"-";"-";"-";"-"
"370031";"370031";"32";"5";"2";"1470";"1217";"9";"2";"1206";"329";"39";"55";"96";"18";"3";"128";"337";"52";"28";"44";"53";"24";"0";"-";"-";"-";"-"
"370032";"370032";"32";"5";"2";"2191";"1934";"4";"1";"1929";"633";"70";"112";"120";"27";"9";"217";"556";"69";"25";"33";"38";"19";"1";"-";"-";"-";"-"
"376001";"376001";"30";"5";"2";"3772";"2823";"20";"15";"2788";"936";"133";"137";"281";"51";"26";"305";"521";"187";"60";"54";"74";"22";"1";"-";"-";"-";"-"
"376002";"376002";"30";"5";"2";"3162";"2514";"26";"7";"2481";"871";"114";"104";"257";"34";"24";"281";"418";"151";"63";"53";"79";"32";"0";"-";"-";"-";"-"
"376003";"376003";"30";"5";"2";"2872";"2306";"15";"5";"2286";"853";"138";"96";"176";"23";"24";"302";"454";"107";"32";"27";"43";"11";"0";"-";"-";"-";"-"
"376004";"376004";"30";"5";"2";"3407";"2793";"23";"15";"2755";"991";"127";"141";"192";"35";"20";"366";"561";"145";"42";"44";"71";"20";"0";"-";"-";"-";"-"
"376005";"376005";"30";"5";"2";"2085";"1810";"17";"4";"1789";"587";"84";"90";"166";"23";"21";"221";"411";"58";"28";"41";"36";"23";"0";"-";"-";"-";"-"
"376006";"376006";"30";"5";"2";"1476";"1196";"10";"4";"1182";"401";"41";"43";"103";"10";"11";"202";"228";"56";"18";"22";"33";"14";"0";"-";"-";"-";"-"
"376007";"376007";"30";"5";"2";"2771";"2422";"20";"12";"2390";"848";"97";"137";"174";"26";"32";"325";"503";"91";"46";"45";"52";"13";"1";"-";"-";"-";"-"
"376008";"376008";"30";"5";"2";"2381";"1941";"13";"5";"1923";"751";"64";"70";"103";"16";"11";"269";"427";"84";"26";"40";"53";"9";"0";"-";"-";"-";"-"
"376009";"376009";"30";"5";"2";"1296";"1017";"12";"3";"1002";"288";"27";"29";"63";"10";"10";"131";"262";"52";"16";"33";"47";"32";"2";"-";"-";"-";"-"
"376010";"376010";"30";"5";"2";"2526";"2030";"22";"7";"2001";"686";"68";"80";"160";"21";"13";"295";"404";"101";"27";"60";"63";"23";"0";"-";"-";"-";"-"
"376011";"376011";"30";"5";"2";"1796";"1452";"16";"4";"1432";"460";"46";"62";"89";"11";"13";"235";"297";"70";"25";"40";"63";"21";"0";"-";"-";"-";"-"
"376012";"376012";"30";"5";"2";"2069";"1700";"16";"5";"1679";"615";"43";"61";"108";"18";"9";"280";"343";"66";"22";"44";"46";"23";"1";"-";"-";"-";"-"
"376013";"376013";"30";"5";"2";"4573";"3553";"31";"15";"3507";"1379";"85";"137";"268";"33";"13";"436";"786";"143";"31";"83";"75";"38";"0";"-";"-";"-";"-"
"376014";"376014";"30";"5";"2";"1275";"1024";"9";"4";"1011";"297";"23";"46";"64";"12";"6";"169";"236";"48";"11";"49";"36";"14";"0";"-";"-";"-";"-"
"376015";"376015";"30";"5";"2";"933";"733";"8";"1";"724";"226";"21";"29";"52";"12";"7";"97";"188";"32";"10";"11";"31";"8";"0";"-";"-";"-";"-"
"376016";"376016";"30";"5";"2";"2981";"2395";"24";"15";"2356";"751";"94";"88";"175";"23";"39";"347";"491";"147";"34";"43";"98";"26";"0";"-";"-";"-";"-"
"376017";"376017";"30";"5";"2";"2463";"2032";"27";"6";"1999";"595";"78";"71";"147";"30";"18";"356";"401";"111";"62";"48";"65";"17";"0";"-";"-";"-";"-"
"376018";"376018";"30";"5";"2";"1600";"1317";"22";"5";"1290";"384";"34";"69";"78";"17";"10";"246";"317";"45";"15";"30";"28";"17";"0";"-";"-";"-";"-"
"376019";"376019";"30";"5";"2";"2912";"2549";"20";"8";"2521";"790";"86";"149";"133";"23";"11";"407";"679";"66";"32";"55";"56";"34";"0";"-";"-";"-";"-"
"376020";"376020";"30";"5";"2";"1096";"872";"8";"5";"859";"286";"27";"35";"55";"4";"8";"174";"113";"55";"14";"25";"53";"10";"0";"-";"-";"-";"-"
"390001";"390001";"31";"5";"2";"4307";"3478";"39";"11";"3428";"1104";"182";"194";"361";"50";"21";"287";"711";"217";"100";"63";"108";"27";"3";"-";"-";"-";"-"
