"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"FV2019 - Stemmeberettigede";"FV2019 - Afgivne stemmer";"FV2019 - Blanke stemmer";"FV2019 - Andre ugyldige stemmer";"FV2019 - Gyldige stemmer";"FV2019 - A. Socialdemokratiet";"FV2019 - B. Radikale Venstre";"FV2019 - C. Det Konservative Folkeparti";"FV2019 - F. SF - Socialistisk Folkeparti";"FV2019 - I. Liberal Alliance";"FV2019 - K. Kristendemokraterne";"FV2019 - O. Dansk Folkeparti";"FV2019 - V. Venstre, Danmarks Liberale Parti";"FV2019 - Ø. Enhedslisten - De Rød-Grønne";"FV2019 - Å. Alternativet";"FV2019 - D. Nye Borgerlige";"FV2019 - P. Stram Kurs";"FV2019 - E. Klaus Riskær Pedersen";"FV2019 - 1. Uden for partierne";"FV2019 - 2. Uden for partierne";"FV2019 - 3. Uden for partierne";"FV2019 - 4. Uden for partierne";"FV2019 - 5. Uden for partierne"
"240008";"240008";"25";"3";"1";"4508";"4027";"28";"11";"3988";"1048";"320";"286";"283";"133";"18";"432";"1045";"140";"60";"127";"64";"31";"0";"1";"-";"-";"-"
"240009";"240009";"25";"3";"1";"3296";"2919";"24";"6";"2889";"728";"258";"263";"170";"98";"32";"273";"782";"106";"36";"74";"43";"25";"0";"1";"-";"-";"-"
"250001";"250001";"24";"3";"1";"5763";"4741";"38";"13";"4690";"1307";"364";"342";"358";"114";"34";"421";"1122";"254";"107";"141";"82";"40";"0";"4";"-";"-";"-"
"250002";"250002";"24";"3";"1";"4511";"3912";"22";"6";"3884";"925";"318";"302";"284";"85";"47";"388";"1008";"190";"67";"161";"76";"31";"0";"2";"-";"-";"-"
"250003";"250003";"24";"3";"1";"4871";"4301";"43";"9";"4249";"1102";"297";"313";"332";"86";"42";"392";"1159";"186";"78";"144";"81";"36";"0";"1";"-";"-";"-"
"250004";"250004";"24";"3";"1";"6530";"5452";"38";"13";"5401";"1439";"252";"334";"335";"75";"43";"730";"1286";"351";"119";"230";"121";"85";"0";"1";"-";"-";"-"
"250005";"250005";"24";"3";"1";"6621";"5536";"40";"15";"5481";"1575";"313";"363";"382";"86";"42";"618";"1175";"424";"116";"217";"111";"54";"1";"4";"-";"-";"-"
"250006";"250006";"24";"3";"1";"5957";"5199";"46";"15";"5138";"1200";"383";"382";"290";"154";"37";"505";"1495";"249";"112";"196";"81";"49";"1";"4";"-";"-";"-"
"253001";"253001";"35";"5";"2";"2958";"2423";"11";"13";"2399";"742";"169";"113";"139";"38";"20";"325";"498";"148";"31";"67";"90";"18";"1";"-";"-";"-";"-"
"253002";"253002";"35";"5";"2";"5362";"4648";"18";"22";"4608";"1085";"419";"281";"243";"93";"36";"481";"1450";"174";"74";"128";"119";"25";"0";"-";"-";"-";"-"
"253003";"253003";"35";"5";"2";"7684";"6610";"31";"24";"6555";"1653";"364";"437";"437";"142";"44";"697";"2023";"241";"102";"191";"163";"60";"1";"-";"-";"-";"-"
"253004";"253004";"35";"5";"2";"3776";"3445";"18";"8";"3419";"773";"226";"280";"249";"88";"21";"309";"1193";"72";"40";"86";"58";"24";"0";"-";"-";"-";"-"
"253005";"253005";"35";"5";"2";"6386";"5654";"27";"15";"5612";"1238";"385";"437";"349";"161";"78";"532";"1928";"144";"85";"142";"98";"35";"0";"-";"-";"-";"-"
"253006";"253006";"35";"5";"2";"5196";"4634";"19";"18";"4597";"1110";"273";"271";"350";"117";"39";"566";"1428";"125";"58";"137";"78";"43";"2";"-";"-";"-";"-"
"253007";"253007";"35";"5";"2";"4173";"3207";"22";"18";"3167";"903";"259";"136";"210";"55";"21";"402";"674";"224";"53";"109";"82";"39";"0";"-";"-";"-";"-"
"259001";"259001";"34";"5";"2";"3798";"3278";"29";"6";"3243";"668";"201";"313";"499";"78";"23";"236";"923";"107";"36";"81";"63";"15";"0";"-";"-";"-";"-"
"259002";"259002";"34";"5";"2";"4387";"3587";"29";"5";"3553";"938";"282";"204";"645";"58";"10";"319";"683";"171";"60";"74";"84";"24";"1";"-";"-";"-";"-"
"259003";"259003";"34";"5";"2";"718";"641";"4";"0";"637";"117";"31";"63";"85";"19";"4";"39";"210";"27";"11";"16";"8";"6";"1";"-";"-";"-";"-"
"259004";"259004";"34";"5";"2";"1620";"1412";"14";"1";"1397";"271";"77";"92";"246";"24";"6";"164";"339";"42";"23";"58";"31";"24";"0";"-";"-";"-";"-"
"259005";"259005";"34";"5";"2";"4017";"3333";"31";"12";"3290";"847";"294";"206";"496";"62";"23";"288";"660";"178";"53";"62";"96";"25";"0";"-";"-";"-";"-"
"259006";"259006";"34";"5";"2";"3176";"2714";"20";"3";"2691";"593";"215";"171";"364";"62";"20";"267";"713";"80";"47";"73";"61";"25";"0";"-";"-";"-";"-"
"259007";"259007";"34";"5";"2";"2535";"2135";"18";"9";"2108";"492";"88";"136";"409";"29";"20";"153";"533";"92";"35";"51";"47";"23";"0";"-";"-";"-";"-"
"259008";"259008";"34";"5";"2";"1015";"881";"6";"1";"874";"187";"23";"60";"165";"16";"5";"96";"212";"29";"8";"32";"23";"18";"0";"-";"-";"-";"-"
"259009";"259009";"34";"5";"2";"4244";"3642";"23";"9";"3610";"915";"220";"252";"605";"69";"30";"323";"841";"161";"44";"58";"62";"30";"0";"-";"-";"-";"-"
"259010";"259010";"34";"5";"2";"3835";"3360";"24";"8";"3328";"673";"200";"349";"595";"82";"10";"241";"875";"94";"44";"85";"61";"19";"0";"-";"-";"-";"-"
"259011";"259011";"34";"5";"2";"2597";"2200";"19";"9";"2172";"481";"109";"129";"463";"28";"22";"210";"436";"122";"37";"52";"67";"16";"0";"-";"-";"-";"-"
"259012";"259012";"34";"5";"2";"4520";"3935";"26";"9";"3900";"952";"257";"250";"532";"59";"57";"390";"866";"172";"87";"138";"87";"53";"0";"-";"-";"-";"-"
"259013";"259013";"34";"5";"2";"2837";"2535";"21";"5";"2509";"535";"159";"164";"287";"71";"19";"256";"749";"66";"34";"95";"60";"13";"1";"-";"-";"-";"-"
"259014";"259014";"34";"5";"2";"978";"853";"5";"1";"847";"155";"27";"59";"82";"23";"14";"107";"282";"24";"15";"24";"22";"13";"0";"-";"-";"-";"-"
"259015";"259015";"34";"5";"2";"2607";"2249";"15";"5";"2229";"497";"69";"163";"226";"45";"18";"252";"742";"45";"24";"66";"57";"23";"2";"-";"-";"-";"-"
"259016";"259016";"34";"5";"2";"1286";"1169";"9";"1";"1159";"252";"35";"72";"156";"17";"9";"157";"352";"20";"15";"34";"26";"13";"1";"-";"-";"-";"-"
"260001";"260001";"24";"3";"1";"7589";"6440";"39";"26";"6375";"1818";"339";"274";"697";"96";"51";"708";"1238";"513";"213";"214";"112";"94";"0";"8";"-";"-";"-"
"260002";"260002";"24";"3";"1";"3191";"2730";"25";"7";"2698";"733";"155";"168";"252";"46";"25";"333";"592";"135";"61";"89";"66";"40";"1";"2";"-";"-";"-"
"260003";"260003";"24";"3";"1";"3130";"2565";"16";"6";"2543";"810";"136";"140";"243";"40";"8";"274";"545";"104";"46";"116";"50";"28";"0";"3";"-";"-";"-"
"260004";"260004";"24";"3";"1";"7239";"5748";"39";"21";"5688";"1698";"299";"289";"522";"102";"61";"649";"1153";"344";"124";"240";"141";"56";"0";"10";"-";"-";"-"
"260005";"260005";"24";"3";"1";"2555";"2130";"13";"3";"2114";"591";"98";"109";"167";"22";"17";"308";"516";"90";"27";"104";"40";"23";"0";"2";"-";"-";"-"
"265001";"265001";"36";"5";"2";"4423";"3790";"27";"4";"3759";"817";"403";"313";"512";"94";"21";"180";"758";"377";"140";"59";"47";"37";"1";"-";"-";"-";"-"
"265002";"265002";"36";"5";"2";"4448";"4040";"27";"12";"4001";"907";"429";"366";"445";"90";"30";"204";"989";"276";"126";"58";"44";"37";"0";"-";"-";"-";"-"
"265003";"265003";"36";"5";"2";"6291";"5319";"36";"29";"5254";"1435";"576";"272";"746";"97";"43";"304";"882";"524";"191";"65";"76";"41";"2";"-";"-";"-";"-"
