Gruppe,ValgstedId,KredsNr,StorKredsNr,LandsdelsNr,total_population,Danmark,Nordiske lande,Tyrkiet,Tidligere Jugoslavien,Gamle EU-lande,Nye EU-lande,Øvrige Europa,Afrika,Nordamerika,Syd- og Mellemamerika,Asien og Oceanien,Uoplyst,households_share_income_under100k,households_share_income_100-149.9k,households_share_income_150-199.9k,households_share_income_200-299.9k,households_share_income_300-399.9k,households_share_income_400-499.9k,households_share_income_500-749.9k,households_share_income_750-k,total_households,share_households_1car,share_households_2pluscar,share_households_nocar
101001,101001;101056,1,1,1,26516.0,22302.0,616.0,34.0,65.0,1543.0,348.0,114.0,102.0,270.0,158.0,672.0,292.0,0.03731400228920259,0.03098054177794735,0.054406714994276996,0.1316291491797024,0.118504387638306,0.10621900038153377,0.19023273559710036,0.33071346814193053,13105.0,0.12560091568103776,0.28210606638687524,0.6121327737504769
101002,101002,1,1,1,8501.0,7234.0,155.0,20.0,27.0,372.0,106.0,41.0,45.0,52.0,49.0,271.0,129.0,0.03322337417530632,0.03157398680490104,0.06291234684260132,0.15928369462770972,0.13501413760603204,0.11050895381715363,0.18661639962299717,0.28086710650329877,4244.0,0.15504241281809614,0.29594721960414705,0.5619698397737983
101003,101003,1,1,1,16001.0,13890.0,348.0,21.0,19.0,763.0,143.0,46.0,39.0,120.0,147.0,309.0,156.0,0.037297584284576586,0.038492168834616404,0.05972922750199097,0.13233342182107777,0.11640562782054685,0.1007432970533581,0.19086806477302892,0.32413060791080434,7534.0,0.10711441465357048,0.29585877355986195,0.6093708521369791
101005,101005,1,1,1,16095.0,13065.0,287.0,50.0,133.0,827.0,297.0,95.0,110.0,178.0,132.0,677.0,244.0,0.04772420561894246,0.03643724696356275,0.0798675009201325,0.17924181082075819,0.12611949454054716,0.12182554287817446,0.18844313581155686,0.2203410624463256,8151.0,0.12967734020365598,0.24021592442645073,0.6577107103422893
101006,101006,1,1,1,13673.0,11561.0,229.0,42.0,82.0,575.0,252.0,67.0,126.0,67.0,70.0,406.0,196.0,0.03246013667425968,0.03630410022779043,0.07218109339407745,0.17810364464692482,0.14165717539863326,0.11603075170842825,0.19533029612756264,0.22793280182232345,7024.0,0.13582004555808655,0.2565489749430524,0.6191628701594533
101007,101057;101007,2,1,1,26547.0,21785.0,449.0,199.0,112.0,943.0,895.0,65.0,267.0,85.0,135.0,1181.0,431.0,0.0654265554842848,0.061898652982681206,0.08915971776779986,0.17511225144323284,0.1191468890314304,0.09445157152020527,0.15667094291212316,0.23813341885824246,12472.0,0.10447402180885183,0.3191148171905067,0.5861930724823605
101008,101008,2,1,1,18518.0,15372.0,374.0,181.0,93.0,664.0,320.0,58.0,214.0,102.0,98.0,698.0,344.0,0.04532908704883227,0.04745222929936306,0.0767515923566879,0.18481953290870487,0.1592356687898089,0.12579617834394904,0.18715498938428873,0.17346072186836517,9420.0,0.10902335456475584,0.21613588110403398,0.6826963906581741
101009,101009,2,1,1,19445.0,13934.0,566.0,58.0,139.0,1392.0,1121.0,202.0,140.0,150.0,266.0,1215.0,262.0,0.05290801947220087,0.028695874967973354,0.0334358186010761,0.09185242121445042,0.09953881629515757,0.11042787599282602,0.24493978990520113,0.3382013835511145,7806.0,0.09556751217012555,0.3027158595951832,0.6438636945939021
101010,101010,2,1,1,15600.0,13597.0,382.0,24.0,23.0,673.0,178.0,61.0,41.0,104.0,92.0,274.0,151.0,0.028599330357142856,0.021205357142857144,0.032924107142857144,0.10281808035714286,0.1044921875,0.10616629464285714,0.19866071428571427,0.40513392857142855,7168.0,0.142578125,0.3681640625,0.5030691964285714
101011,101011,3,1,1,20679.0,15574.0,953.0,69.0,73.0,1692.0,441.0,103.0,196.0,316.0,233.0,612.0,417.0,0.0634940671547589,0.03786922494319616,0.05655137591517294,0.11613228982580157,0.10212067659681899,0.09517798535723303,0.19325927796011108,0.33539510224690733,7922.0,0.11562736682655896,0.23201211815198183,0.67760666498359
101012,101012,3,1,1,9288.0,7908.0,205.0,11.0,14.0,569.0,81.0,39.0,30.0,114.0,46.0,159.0,112.0,0.033177684934873435,0.01990661096092406,0.042025067584173015,0.10223642172523961,0.10297370361268125,0.10076185795035636,0.17645613172769722,0.42246252150405506,4069.0,0.1273040058982551,0.38461538461538464,0.5025804866060457
101013,101013,3,1,1,13427.0,11423.0,345.0,19.0,18.0,748.0,173.0,40.0,37.0,132.0,90.0,186.0,216.0,0.048242909987669544,0.03175092478421702,0.05826140567200987,0.15844636251541308,0.11405672009864365,0.0969482120838471,0.1846485819975339,0.3076448828606658,6488.0,0.12885326757090013,0.2831381011097411,0.6066584463625154
